
system.cpu.dcache.tags.tag_accesses,0.5959,0.4447,0.0004,0.0854,0.0567,0.3662,0.3361,0.0001,0.0854,0.0006,0.0154,0.066,0.0004,0.2784,0.7297,0.0557,0.2941,0.0004,0.0987,0.1618,0.0013,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2114,0.0044,0.0246,1.0,0.0027,0.0002,0.0006,0.0004,0.0117,0.0004,
system.cpu.dcache.tags.data_accesses,0.5959,0.4447,0.0004,0.0854,0.0567,0.3662,0.3361,0.0001,0.0854,0.0006,0.0154,0.066,0.0004,0.2784,0.7297,0.0557,0.2941,0.0004,0.0987,0.1618,0.0013,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2114,0.0044,0.0246,1.0,0.0027,0.0002,0.0006,0.0004,0.0117,0.0004,
system.cpu.dcache.ReadReq_hits::total,0.9526,0.7766,0.0007,0.0946,0.0021,0.382,0.3261,0.0002,0.0946,0.0009,0.0188,0.1285,0.0006,0.3622,1.0,0.0001,0.6562,0.0006,0.1903,0.1196,0.0019,0.0003,0.0002,0.0003,0.0005,0.0002,0.0001,0.0003,0.0002,0.309,0.0068,0.037,0.3194,0.0014,0.0002,0.001,0.0006,0.0202,0.0005,
system.cpu.dcache.ReadReq_accesses::total,0.9527,0.7785,0.0007,0.1565,0.0025,0.4055,0.352,0.0002,0.1565,0.0009,0.0188,0.1288,0.0007,0.3855,1.0,0.0002,0.6814,0.0007,0.1912,0.1196,0.0019,0.0004,0.0002,0.0003,0.0005,0.0002,0.0001,0.0003,0.0002,0.3145,0.0068,0.0372,0.3193,0.0014,0.0003,0.001,0.0006,0.0203,0.0006,
system.cpu.dcache.overall_hits::total,0.6745,0.5045,0.0005,0.0393,0.0548,0.3939,0.3598,0.0001,0.0393,0.0006,0.0079,0.0748,0.0004,0.301,0.8303,0.0538,0.3201,0.0004,0.1112,0.1477,0.0014,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2378,0.0049,0.0279,1.0,0.0028,0.0002,0.0006,0.0004,0.0132,0.0004,
system.cpu.dcache.overall_accesses::total,0.6075,0.4551,0.0004,0.0586,0.0564,0.3637,0.3338,0.0001,0.0586,0.0006,0.0141,0.0676,0.0004,0.2798,0.7478,0.0554,0.2989,0.0004,0.101,0.1592,0.0013,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2164,0.0045,0.0252,1.0,0.0027,0.0002,0.0006,0.0004,0.012,0.0004,
system.cpu.dcache.demand_hits::total,0.6745,0.5045,0.0005,0.0393,0.0548,0.3939,0.3598,0.0001,0.0393,0.0006,0.0079,0.0748,0.0004,0.301,0.8303,0.0538,0.3201,0.0004,0.1112,0.1477,0.0014,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2378,0.0049,0.0279,1.0,0.0028,0.0002,0.0006,0.0004,0.0132,0.0004,
system.cpu.dcache.demand_accesses::total,0.6075,0.4551,0.0004,0.0586,0.0564,0.3637,0.3338,0.0001,0.0586,0.0006,0.0141,0.0676,0.0004,0.2798,0.7478,0.0554,0.2989,0.0004,0.101,0.1592,0.0013,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.2164,0.0045,0.0252,1.0,0.0027,0.0002,0.0006,0.0004,0.012,0.0004,
system.cpu.fetch.predictedBranches,1.0,0.3172,0.0003,0.1144,0.0548,0.4562,0.4243,0.0001,0.1144,0.0004,0.0137,0.0448,0.0002,0.8457,0.8349,0.054,0.2683,0.0003,0.0894,0.221,0.0007,0.0002,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0001,0.1814,0.0029,0.0096,0.322,0.0042,0.0001,0.0004,0.0003,0.0083,0.0002,
system.cpu.iew.exec_refs,0.7157,0.5164,0.0005,0.0793,0.0549,0.6626,0.6332,0.0002,0.0793,0.0007,0.0137,0.0743,0.0005,0.2799,0.898,0.0538,0.3112,0.0005,0.1155,0.1548,0.0014,0.0003,0.0002,0.0002,0.0004,0.0002,0.0001,0.0002,0.0002,0.2581,0.0051,0.0256,1.0,0.0028,0.0002,0.0007,0.0005,0.0138,0.0004,
system.cpu.iew.exec_branches,1.0,0.5381,0.0005,0.1084,0.0523,0.3315,0.3172,0.0002,0.1084,0.0006,0.013,0.091,0.0005,0.9867,0.429,0.0512,0.2958,0.0005,0.1736,0.2099,0.0014,0.0003,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0002,0.2745,0.0052,0.0189,0.3907,0.0043,0.0002,0.0008,0.0005,0.0154,0.0004,
