
system.cpu.iew.iewExecLoadInsts,13321894,9336756,8379,1657122,30302,12332837,12224512,2739,1657083,10455,199778,1467487,7949,4080947,15115201,1771,7708748,7634,2311912,1274328,21912,5703,2587,3522,6050,2396,1651,4095,2878,4548151,82901,410688,3882272,19232,3094,11495,7594,246088,6600,
system.cpu.iew.iewDispLoadInsts,13507719,10811232,11365,1657760,36278,16440630,16156971,3575,1657661,14366,201010,1906815,10564,4081492,18138231,2417,8145424,10104,2875465,1276961,29137,6382,3383,4273,7882,3215,2229,5402,3806,4594110,109259,449354,4572382,24295,4250,15765,10236,321735,8752,
system.cpu.iew.iewDispatchedInsts,92748922,92239557,96955,45029041,69512877,86527797,80240477,31152,45028831,124022,1808414,15612126,89542,79764106,99311218,69448702,57093177,92128,27896633,29868743,287143,51842,29810,35429,69710,28029,21200,45805,33139,43075085,979740,4019680,75615157,598549,37008,137736,89795,2686631,78028,
system.cpu.iq.iqInstsIssued,91633021,82088560,81364,45024732,69476663,70469980,66378057,26173,45024728,103603,1801481,13174625,75390,79636789,84189477,69444498,55022000,77404,24082012,29832510,240096,43994,24997,31109,58820,23466,17925,38404,27770,42560030,833796,3829784,72201818,571151,30429,114288,75423,2293428,65518,
system.cpu.iq.iqInstsAdded,89246622,92055171,96622,37751978,69512795,84952796,78700773,31015,37751789,123406,1808194,15544778,89090,75313726,96293949,69448620,57075229,91855,27891374,29868417,286115,51629,29677,35296,69417,27918,21106,45621,32998,43068552,975727,4019231,75553750,597699,36830,137009,89428,2675489,77690,
system.cpu.iq.int_inst_queue_wakeup_accesses,91532009,76941970,72801,45022605,4867313,69135842,65980999,23611,45022668,92770,1797931,12205693,67207,79629605,81660544,4700243,42449624,68314,22506925,29757735,199681,38401,22229,28688,52549,21010,15960,34596,24791,42386201,766311,3719869,47373900,556342,26997,102470,66393,2115726,58139,
system.cpu.iq.int_alu_accesses,91630790,81054965,79938,45024145,4875067,69973825,66495865,25662,45024164,101655,1800682,13214909,73888,79631048,85187917,4701636,42973310,74989,24461912,29799873,213998,42152,24193,30583,57326,22996,17452,37837,26924,43489871,828960,3791921,48827282,568108,29812,112801,73057,2302790,63774,
system.cpu.iq.FU_type_0::total,91633021,82088560,81364,45024732,69476663,70469980,66378057,26173,45024728,103603,1801481,13174625,75390,79636789,84189477,69444498,55022000,77404,24082012,29832510,240096,43994,24997,31109,58820,23466,17925,38404,27770,42560030,833796,3829784,72201818,571151,30429,114288,75423,2293428,65518,
system.cpu.iq.fu_busy_cnt,2521,1144656,1706,250,3310032,399206,120871,386,250,1834,449,291805,1125,216,1007986,2535145,195207,1522,776146,57541,5273,851,266,375,1037,300,227,652,357,989257,16670,35359,492881,3995,461,2888,1289,50524,1141,
system.cpu.int_regfile_writes,67969799,63683028,59142,35431828,4055622,57231754,54614684,19356,35431871,75606,1399598,10143152,54818,59723432,61512687,3916572,39054279,55797,19033109,23423475,166460,31059,18119,23307,42822,17192,12961,28377,20263,35260024,624984,3103648,38738680,429585,22131,83724,53975,1730077,47556,
